gs,ACH-000439,ACH-000789,ACH-000531,ACH-000399,ACH-000175
SLC25A26,3.474030459,2.923659804,3.697932106,2.91021821,3.972952716
LGR4,-0.026128139,3.902515829,2.374697628,4.6980943,4.057800147
PRG4,0.006937251,0.840293757,0.115609149,0.034884127,8.542976612
PACS2,3.768541695,4.99634302,4.063500235,4.068443348,4.176363067
KIAA0040,-0.096338794,2.489063353,0.611620565,0.471961614,-0.042507648
TRAPPC2B,3.178972166,4.720821741,3.619158055,4.053446348,4.233971818
FOLR2,0.000908843,0.083773151,0.000908843,0.147271441,0.000908843
TMEM241,3.019256475,2.599286808,2.686772519,3.36325217,2.656132891
GJD3,0.288374007,-0.12062474,1.75187009,0.312863999,0.930200126
RPL14,11.27002574,8.576937215,9.45507649,7.461478903,9.348570466
DNM3,0.138347391,1.943923022,0.660971117,0.603729638,0.76916813
CDC20B,-0.001792835,0.012461703,0.026575799,0.040552195,0.210829095
PLSCR3,2.099201849,4.602490815,6.099539588,3.7661018,5.462064633
SLC44A2,0.635760592,0.885464935,6.814420127,6.501982132,6.810938973
ANKUB1,-0.021952588,0.020689845,0.020689845,0.785366281,-0.021952588
TRPV5,-0.00184413,-0.00184413,-0.00184413,0.00973832,-0.00184413
RIPK3,0.524266612,-0.057710048,0.225587755,-0.044093072,0.488012976
ZNF398,2.818647078,2.632276279,1.831260859,3.214288659,2.495850603
GOLGA8O,5.192544395,1.010544113,1.30645621,1.286244845,0.823469727
DDX25,0.020091597,1.982788834,0.035018599,3.459240692,0.064434274
MPC2,4.481547775,6.134914649,5.257266956,5.543930121,5.198732001
LBH,1.38407281,0.408639692,8.498499029,5.335808393,4.899311708
WAS,4.958662717,0.112603461,0.137108509,1.268874477,0.137108509
ZNF671,2.660099391,1.777403034,2.037757231,0.664667032,2.095318645
SARNP,6.058567219,7.129981534,6.785144377,7.350943752,7.181929175
SLC4A8,0.777372795,1.907435259,2.139797473,4.734752312,2.262017784
TERF2IP,4.197046662,6.504567753,5.765703971,5.304891511,6.051229496
KIAA1841,1.591712735,3.194914803,1.92748724,3.48243837,3.051175444
UBE2H,3.500400268,4.036113595,5.330224139,5.935705899,5.783785917
FEN1,5.622691942,6.332470086,3.369660148,6.779352721,4.457885386
UCP2,7.236339841,8.373140776,4.042841153,7.169550462,1.28109058
TSHZ2,-0.032998137,0.842627585,-0.032998137,4.850617554,3.269602225
HS6ST1,4.934557081,4.308338906,4.287057748,4.994710829,3.643665021
LRRN2,-0.024133617,0.558172113,-0.010809153,3.047123172,0.091430955
MYO5C,3.44150364,2.5070152,-0.093744268,2.962935834,0.16823707
DNAJB8,-0.002197589,0.020012614,-0.002197589,0.063155573,-0.002197589
CHRNB1,2.546005677,2.272887998,2.890483828,4.754129308,2.37549099
FRG2C,-0.000912753,0.012869125,-0.000912753,-0.000912753,0.053410575
OR1C1,0.010503156,-0.000635067,-0.000635067,-0.000635067,-0.000635067
AIFM1,5.314612416,5.935679706,4.221901622,5.407662429,4.349923608
RAB39A,-0.00029193,3.273883544,-0.013376733,4.536689065,-0.00029193
OR11H2,-0.000845549,-0.000845549,-0.000845549,-0.000845549,0.0444885
KIRREL2,-0.014690258,2.145292716,0.038158795,0.038158795,-0.014690258
CDC5L,2.946228225,3.97240934,3.147407249,4.962247551,3.87189886
GANAB,7.809201195,7.33168922,7.521441844,8.876104549,8.158126885
PALM2AKAP2,0.949917685,1.709949782,6.517286102,5.674847592,6.166441034
SPIB,0.163982556,-0.003424733,0.063337844,0.199944339,-0.031041828
OR2AE1,-0.006328169,0.14690754,0.018500243,0.201192807,-0.006328169
GALNTL5,-0.001236796,0.125597302,-0.001236796,-0.001236796,-0.001236796
GRID1,0.01646762,0.01646762,0.188061125,2.056292378,0.044257047
SH3D21,0.941510472,1.570089452,2.587733321,3.572760337,2.574329034
SIT1,0.149201045,0.068236586,0.026018867,-0.017446845,0.054298256
APOL3,2.820287356,0.027247503,2.44626697,4.046654155,3.212355213
TGM4,0.003105416,0.003105416,0.066942909,-0.010040753,0.029011718
MRPS11,4.795228378,5.93237259,5.164307608,5.160875858,5.392631369
FAM229B,0.541811963,2.633323033,4.44279792,4.221247412,5.254448799
CFAP94,0.058894579,0.485467182,0.044667688,0.815085776,0.244740503
ZSCAN2,3.412343464,3.244489497,2.20309242,2.541452024,2.11691751
TGFBR3L,1.269433203,0.008603571,1.949279551,0.569515619,1.031909246
NUDT7,2.501258414,2.198553523,2.336037837,2.475935008,1.70011186
MYO15B,5.170803721,2.051294991,0.682883332,3.30725275,0.516816933
SLC9A9,0.094106654,0.289839403,1.944138186,0.063970581,2.37972552
GNPAT,4.673571858,4.747980457,4.27638065,5.402957461,4.938346472
SEBOX,-0.004518773,0.093335268,-0.004518773,-0.004518773,-0.004518773
FRMD8,3.517763026,3.677215426,3.647767172,4.861497388,4.59778238
JAM2,0.119727437,0.119727437,3.194416253,0.442205385,3.005583324
TRAM2,2.825976983,0.862428462,7.057380115,4.051454379,6.630976953
CCDC61,3.687077739,1.717167092,2.154027884,3.023069438,2.385039451
TUBA4A,3.338777531,8.361902823,3.649066604,5.849037715,3.960210246
PDGFD,-0.027736704,4.326688809,0.563911663,0.129757694,0.892487976
MEI1,0.929707903,0.289654746,1.683999735,0.164360231,0.858453058
C2orf69,1.235077657,3.140133737,2.619383259,4.386934342,3.798810716
KCNN2,0.046915972,0.119261086,0.905551289,0.046915972,0.046915972
CFHR5,-0.000172247,0.022597872,-0.000172247,-0.000172247,-0.000172247
TMEM14B,6.422974382,6.264712406,5.981180517,7.392649872,6.400296883
PRKAR1B,2.559085646,6.51968204,2.996990745,2.982875942,3.559997991
NUDT11,0.075893347,0.243068501,2.956873492,0.105104903,3.022354884
RHPN1,2.105545115,2.477466199,-0.212564256,3.59250384,-0.14218756
GTPBP8,2.30734217,4.055481706,3.421691507,4.522897884,3.442821297
NISCH,3.132288758,4.83728362,4.333253367,4.504968784,5.133566736
ELL3,0.77004317,2.934823641,0.967528162,2.50959946,1.750615981
NOL8,3.312886748,4.973184193,3.514559776,5.281473728,4.127680323
ZNF143,2.838179157,4.163685342,2.942719215,3.833539293,3.706223952
HEXB,5.183844677,5.025411764,7.617327421,6.821952044,7.882140681
OR4X2,-0.000437865,-0.000437865,-0.000437865,-0.000437865,-0.000437865
SPDYE3,0.029859557,0.071732389,-0.013639805,0.216133962,0.029859557
PCDHGB1,-0.019167548,3.375650045,1.21949706,0.078632254,0.948449345
PIGR,-0.01751801,-0.00336162,0.265388202,0.277002189,0.010655297
CCZ1,4.128111164,5.947179979,4.143325967,5.655801186,4.570539284
MYH2,0.001382579,0.001382579,0.026984131,0.001382579,0.237094477
CBX5,3.983471973,5.954217513,3.684298751,6.621079472,4.535208824
IMP3,5.858691844,5.908371747,5.098396913,4.352594776,5.601873213
CNTNAP3B,-0.020532994,3.448140377,-0.006793359,0.254044626,2.221011553
RUVBL2,6.307463135,7.165841929,5.547466534,5.993163986,5.905887757
GDPD2,-0.029311487,0.031854383,0.046778227,0.161290551,0.016786345
ARNT2,0.032978764,4.782863149,3.471172768,3.712735879,3.206132915
ZNF568,1.22909513,0.318186212,2.385608147,2.22135564,2.726146746
KIAA1614,0.174925368,1.10658773,2.137028826,1.89254374,2.283370165
DTX2,2.792902119,1.691002756,2.483382258,3.847000548,2.708007233
SND1,6.988541515,6.25353904,6.473695438,6.02633953,6.663591793
ZNF273,2.439620899,1.783820035,0.702586556,4.49911403,1.213881844
RPL17-C18orf32,4.534520411,5.811918289,5.415524018,7.250761211,5.921228259
GAK,5.737358191,5.112080747,4.119324182,5.38986649,4.969536759
TMEM200C,-0.010360869,1.19571463,-0.010360869,0.164408878,-0.010360869
OR5V1,-0.001629364,-0.001629364,-0.001629364,-0.001629364,-0.001629364
DHODH,2.481120078,2.790060215,1.708964081,2.27165249,1.735797617
ATP6V0A2,4.853678094,4.441443222,2.613274618,4.302629043,2.876088703
LGALS9,7.903738923,0.856159729,1.550432729,0.816068665,0.187551812
GDF11,2.824663614,1.963548188,3.613937896,4.47404835,3.101603001
CGB7,-0.024267757,-0.024267757,0.293224625,0.195589388,0.002036589
MMD,-0.041279724,2.116916518,2.644793596,4.965976758,2.325670813
CCDC174,3.675943762,3.345249434,2.744209232,2.950418389,3.568811057
INSYN1,0.041190207,0.150964921,2.050292734,0.629009949,3.571244398
ZNF235,1.365519241,2.651404733,1.425043253,2.780851334,0.893913709
PARM1,-0.0225182,2.328303607,0.292544883,5.123444194,0.099084116
RNF25,2.174996733,5.002982466,4.561488412,5.16536416,4.796998825
SHISA6,0.005107417,0.005107417,0.005107417,0.005107417,0.021217111
TSNAXIP1,0.18404784,0.767606708,0.463124295,1.124041969,0.880125069
LEFTY1,-0.02336734,0.30745174,0.004041128,0.500419861,0.004041128
PCDHGA10,-0.053090074,0.110436099,0.805784813,1.040847093,3.068221593
CAB39L,1.567579849,1.28035937,2.370905701,1.768538826,4.104311797
PKIA,0.060361713,3.325753839,2.216269317,4.027946595,2.929330975
MAGEA4,0.055472557,0.563709579,0.00365119,0.105475251,0.055472557
RCC1,6.357274664,5.970245724,3.869352025,5.634311413,4.46615896
GTF2A1,2.915544316,3.815030708,3.516971106,4.97738097,3.9645414
ZFPM2,2.405517444,-0.045016268,2.836776604,0.391550433,2.522164378
ZNF675,2.633081445,2.809486975,1.851980519,4.111272663,1.722617658
H2BC4,0.724728924,4.85442692,4.052867564,4.984419537,3.280493025
SPINK7,-0.000325867,-0.000325867,-0.000325867,0.130210585,-0.000325867
CDK19,3.374309973,3.466164061,2.724669106,5.144992443,3.017766659
RHOBTB2,0.946569826,2.908248857,2.666867711,3.616570493,3.622712267
SPIN1,3.455769017,5.781592809,5.30850945,5.605604156,5.631978338
PTGFR,0.046162284,0.046162284,1.970958928,0.046162284,2.442933194
RPS16,11.6844669,10.49252499,9.922282817,9.134473029,9.738061487
SAA2,-0.012873309,0.062839369,0.72614788,0.486936535,0.047989475
RHD,0.092788985,0.170947936,-0.002811365,-0.015280331,0.057771484
N4BP2L2,4.762773193,5.384203314,4.705162457,5.524966086,5.670910937
CD3G,0.039732661,0.039732661,0.000865111,-0.012347732,0.026902805
F8A3,2.412792763,3.2022009,0.43682777,3.468249433,2.17412408
ZNF586,2.353230056,3.671423315,1.767343031,3.465112865,1.934517355
TRIM44,3.536938213,4.808539067,4.651673783,5.200081976,4.553348643
PIK3R5,2.242984967,0.08975273,0.102736703,0.022974772,-0.018666225
PAPPA2,0.000575406,0.500485701,0.824170922,0.046454035,3.787322054
YARS1,6.251431256,7.204655686,6.052822874,5.811414873,6.320798952
VCPKMT,2.229688912,3.562129618,2.370951325,3.953059857,2.697146598
CLSPN,1.66140782,4.044700884,1.269870959,4.787165962,2.427694701
CD47,5.964972871,5.99717756,5.508890242,5.921043638,6.25653628
CYP17A1,-0.022095468,0.463573565,-0.022095468,0.475517033,0.102453091
SETDB1,5.165559963,6.330463151,3.446620031,5.578965414,4.141185796
PRSS41,0.064475477,-0.001109431,-0.001109431,0.03862422,-0.001109431
ZNF730,0.575393542,0.103333903,0.171214024,2.388948389,0.117160201
CYREN,4.740233545,4.629601748,4.264997325,5.782376245,4.920137903
SRFBP1,2.104152276,3.043996751,2.397799879,3.622666608,2.785400926
ATXN7L3,4.952425069,5.50188436,4.548310374,4.785603236,4.893775038
VCY1B,-0.004096702,-0.004096702,-0.004096702,-0.004096702,-0.004096702
SIGLEC12,4.863327651,-0.024651823,-0.012356264,-0.024651823,-0.012356264
IRF4,0.160585674,0.160585674,0.066913341,0.211471242,0.094311193
CYP46A1,0.00747158,0.13482935,0.327060585,0.733459267,0.593925639
CRLF3,3.59337385,3.733946311,2.778142006,3.25562549,3.134049444
SIRT3,3.647078854,3.747357176,3.481421903,4.720848297,3.512780766
ULBP2,0.020295277,1.468139118,4.339574507,4.424715028,2.395670466
ZGRF1,2.537952264,4.019959542,0.98458458,2.621034511,2.006476189
YTHDF1,5.011059989,6.08755191,3.977906887,5.535577615,4.360672943
WDR25,1.90970566,3.929561874,3.125651486,2.470298086,3.585430336
FAM71A,-0.003265925,2.085276563,0.008772138,0.032494767,0.227349506
C2orf15,0.31339271,3.863036757,-0.019148668,4.268604327,-0.019148668
RPS6KA2,4.517185436,2.984349266,5.309206426,1.558047779,5.57472204
CELF3,-0.036971188,6.847740719,-0.036971188,3.459777494,0.014019127
OR5L1,-0.000188136,-0.000188136,-0.000188136,-0.000188136,0.032922315
C11orf87,0.001433013,0.001433013,1.280355895,0.001433013,2.546424474
BAAT,-0.03346387,0.281628295,0.031367292,0.281628295,0.04718543
MMP27,-0.00047253,-0.00047253,-0.00047253,-0.00047253,-0.00047253
MUC22,-0.000958098,0.010375416,-0.000958098,-0.000958098,0.010375416
GPD1,0.010418635,0.15175082,0.076410665,2.670893075,0.280269113
DNAL4,3.676620006,3.713203235,3.518041326,4.078564046,3.279519659
TDO2,-0.038797115,0.06042209,0.032752073,0.153351566,-0.038797115
PAQR5,2.438997193,0.07022111,2.224992554,0.378367835,1.616528963
ZEB2,5.404470161,0.573613471,4.80110856,0.686425169,4.641936823
ARHGAP36,-0.009994858,0.107509748,-0.009994858,-0.009994858,-0.009994858
POLR2M,4.561226653,5.600528136,4.613147512,4.073350669,5.037505919
CWC15,6.266449281,5.481776296,5.465489137,5.96229344,5.832849858
SLC39A12,-0.002811717,0.032663661,-0.002811717,-0.002811717,-0.002811717
RGS7,0.004944227,1.379326692,0.4383547,2.901320796,2.189910494
GLIS3,-0.02984138,3.757207789,2.446842461,1.445505965,2.275691757
JCHAIN,1.223458761,1.441725783,1.831699387,0.60774206,4.930299322
FNBP1,4.262700857,3.559565274,3.350205276,2.633584763,4.824106401
PRKCH,4.789987605,3.265659314,1.128140738,6.636453924,2.845375829
SLC12A5,3.603151911,2.529480545,0.295884953,4.768307868,0.339607602
TAS2R46,0.023354898,0.119763327,0.010780536,0.209459466,0.09632883
GNB5,1.168703449,3.611429143,4.847869533,4.842359673,4.225970795
SLC35A5,3.075006402,3.550304595,4.794146611,6.202147203,5.555735699
C8orf44-SGK3,0.485948263,0.231974521,0.706934165,0.472789009,0.419111664
MGRN1,5.654078656,4.473998462,4.294976193,4.612359581,4.862205095
IRAG1,0.054135787,0.001806844,4.799573147,0.054135787,2.7304259
HJV,0.000848573,0.110470532,0.000848573,0.038103481,0.000848573
RCE1,4.595279876,4.096177559,2.751302901,4.824484512,3.138625263
CC2D2A,1.42569096,1.614242318,4.339523212,2.405745021,4.766844473
OR1Q1,-0.004369433,-0.004369433,0.267996314,0.069408415,-0.004369433
THNSL1,1.670564469,2.641438582,1.035575227,2.468120959,1.174115019
CLCN1,0.221132658,0.087486435,-0.004918141,-0.004918141,0.022127232
GP1BB,4.221728995,1.216217969,0.098525167,0.374030271,0.021429221
FBH1,4.919040278,4.852043527,5.166831081,4.464015368,5.41731938
TMEM255B,0.681512508,1.206479404,3.009795884,4.059967279,1.928122823
CDK14,0.110811536,3.852873214,3.880212264,3.966806367,4.683560219
MPDU1,5.4144095,6.345796712,5.528204475,5.71953388,6.140701482
HLX,2.22613493,0.078003758,3.731510722,0.370846708,4.722747588
BCL2L10,-0.015655559,0.096970062,0.027601112,0.567917738,-0.015655559
ZNF180,1.380921966,2.662408113,1.443777557,3.850868237,2.165113675
ACSL3,2.375419914,4.639065183,5.336687505,6.426266509,5.175206003
ABHD18,2.580782206,2.730716177,1.693812227,3.02860023,1.850297002
IZUMO1,0.265309994,0.00755123,-0.043047747,0.938474339,-0.017500208
TNNT2,-0.073248876,1.338827058,5.814473022,1.014160859,0.489609065
CSN3,0.000134197,0.000134197,0.000134197,0.000134197,0.000134197
POLE3,5.027620256,6.978803674,4.573029513,6.662704549,4.937995156
CAPN11,3.974087543,0.001332175,0.04507682,0.059375669,0.059375669
C22orf39,4.187186441,4.451863062,2.903864431,4.076359346,3.310625104
SRBD1,3.820758597,3.63526958,2.267068396,3.642220566,2.875638244
RIPK2,4.299692138,1.7546359,3.816671971,2.61847531,3.208360045
IFFO2,2.649237079,0.078725058,3.545335495,1.227084346,2.36222009
CXCL16,-0.055084042,4.448841369,0.904139884,3.313662266,4.385583085
NEUROD6,0.005069583,0.005069583,0.023390249,0.005069583,0.023390249
C6orf136,3.331350625,4.307178897,2.721992385,4.528136891,3.26195633
VPS39,4.567960542,5.482334902,4.591239165,4.385660661,5.286921651
MRPL43,5.502605966,5.62930863,5.98898077,5.436483826,6.124949362
LITAFD,-0.003409539,-0.003409539,-0.003409539,-0.003409539,-0.003409539
RRAS2,3.356550611,3.471019543,6.33547851,4.26242581,7.084334603
TXNDC11,4.569184189,4.40297658,4.522562783,5.575947899,5.0267593
GPR161,1.809052082,1.372381055,3.340054527,3.844155666,3.373948688
OR9A2,-0.001254178,0.035926554,-0.001254178,-0.001254178,-0.001254178
OR2Z1,-0.000241506,-0.000241506,-0.000241506,-0.000241506,0.011033691
ORC5,3.160357422,4.960472534,3.378385327,4.850976105,3.758845246
ACP5,0.288665635,1.693987489,2.585895023,0.804847645,0.210744517
ARID3B,2.07273154,4.106368007,0.576806991,2.024249823,1.350059888
USP26,-0.003251917,-0.003251917,-0.003251917,-0.003251917,-0.003251917
ZNF684,1.449373231,1.877152123,1.7033089,2.844295826,1.993333456
FDX1,3.393210079,3.018403219,2.693159314,3.270622437,3.113504536
PIGZ,2.25060749,0.501632005,2.064913566,4.017546715,2.448421435
PMCH,0.033219858,0.254249409,0.068949295,0.332833464,1.950430149
PCDHB11,-0.004007371,0.792273366,0.22918104,0.811089622,0.490603958
MPEG1,-0.006629834,0.007772602,-0.006629834,0.022033139,0.022033139
OSGIN1,0.20030375,2.157894653,2.349144053,2.330204016,2.584440259
CLEC12A,0.932523464,0.045850185,-0.005030148,-0.005030148,0.045850185
AKAP8L,5.490955419,5.753842454,4.254014648,5.840564422,4.517445538
TLCD1,2.612415721,4.589479365,2.904741764,2.957544611,2.888525541
PPP1R17,0.000229423,2.702901569,0.133193823,0.133193823,0.000229423
TRAPPC3,5.561313848,6.554709392,6.047588269,6.84898926,6.663870988
TOMM20,6.888528904,6.468934365,6.180958633,5.536204526,6.562260551
NKAIN2,-0.01524938,1.313386624,-0.001577623,4.50762194,0.257971741
GPALPP1,3.511576974,3.64249167,2.569337041,3.633852633,3.189690322
ZNF579,2.538415469,3.666879793,2.487225057,3.456851856,2.907819104
MDM1,3.401379126,3.997324073,2.022194639,5.184969156,2.943358549
TMEM35B,4.909473194,2.979846987,5.386244727,4.975513757,5.968628323
STX3,3.158001209,6.15654048,3.35979668,4.805623376,2.7586921
GIMAP6,1.687945612,-0.014400391,0.0437895,0.000362437,0.000362437
SMN1,5.13814729,6.415528579,4.286198366,4.931534666,4.885275954
OR10T2,-0.001605628,0.185657642,-0.001605628,-0.001605628,-0.001605628
PDCL3,5.298781377,5.340242042,4.712312397,6.150163171,5.009568839
KIAA1755,-0.017470716,-0.002915457,0.858502183,0.039901007,1.219858132
URGCP-MRPS24,0.182116677,0.95017139,0.356031825,0.574233502,0.296186812
CCL4,0.68631324,0.002855131,0.062281341,0.002855131,0.002855131
ALDH16A1,3.735925518,3.446682746,2.316332554,4.031805297,3.055940681
UBA5,4.069367526,5.580295576,4.546979121,6.054381523,5.150609424
ACAD9,4.44036129,5.864678657,3.92376272,5.858633644,4.411643717
SLC25A4,1.841417268,5.775310617,3.776658831,4.303910267,5.065949044
JUP,6.238593022,6.565087518,3.454997584,4.328495084,1.460525769
CENPB,5.713615805,6.130579622,5.263231419,5.78298192,5.398103031
PYCR3,3.11449293,3.869682075,2.310056922,2.289630498,2.929494218
MADCAM1,0.034930773,0.273349759,0.112484147,1.041426983,0.337634608
ADH1B,0.015239505,0.069873924,4.295049949,0.015239505,3.104673678
SNW1,5.717654939,6.728861082,5.182398075,6.692199925,5.316430491
IFNGR2,4.885046531,5.791874926,5.943824808,6.670973918,5.803879614
AKR1C3,1.686483937,5.59991209,1.886586663,0.290330256,4.342052794
HSF5,-0.003094487,-0.003094487,-0.003094487,0.014935523,0.014935523
CORO1C,5.579467059,6.23891806,7.843433454,6.65441484,7.503399508
RNASE1,-0.069240402,-0.027312255,0.153464032,-0.069240402,0.026731071
SERPINB2,0.114287375,0.008838302,8.447390878,0.337255377,4.071296237
TWSG1,3.929615591,2.148592909,6.480403879,5.465835852,7.179475561
XPO1,5.812169415,6.800381758,5.348648982,6.175398352,6.017633277
RBBP5,2.92055917,3.367157345,2.614695528,4.657622144,2.807244832
LCP2,4.774401068,0.051641041,-0.015508064,0.038468278,0.025169457
PPFIA4,-0.12343816,0.538716516,1.665605612,2.645255611,2.603193918
ATP13A5,-0.016875334,0.045673918,-0.016875334,0.367860361,-0.016875334
JMJD8,5.168169556,7.014653024,5.037768781,6.034256661,5.630279664
TCN2,2.710700197,1.602757811,3.110179184,4.322780842,3.251467264
PYCR1,5.676308868,7.237446422,6.116437212,4.890755193,6.193674181
C17orf97,0.657917436,3.002158326,1.695263141,1.53952728,2.16638044
HSD17B14,0.768329622,1.245535043,3.08146967,3.821211519,2.773487664
OR10R2,-0.006596472,0.037307469,-0.006596472,-0.006596472,0.015570728
C3orf85,-0.010975481,0.141836775,-0.010975481,-0.010975481,0.002441533
CACNB2,0.054153805,4.346411081,0.468962895,0.861064413,0.135902882
SPTY2D1OS,-0.111472043,1.677503503,0.769268539,0.985909309,0.683622271
FNBP1L,2.59688657,5.889201575,0.889082002,5.723493624,3.475506467
FAHD2A,3.3911477,5.651538074,4.24526346,4.539202997,3.521872177
BCL2L14,-0.024767114,0.335354674,-0.010695092,2.265414745,-0.010695092
ATG9B,0.095565616,1.28691461,0.117214835,3.822314182,0.220397926
EBF3,1.11900467,0.180288876,0.13848992,0.109961462,4.845532657
GYS1,4.792906664,4.395874475,5.255749803,4.013559382,4.907322901
BST1,3.563850381,0.987985846,6.648275958,0.651408713,7.360004021
SLC25A51,3.071523081,3.661021657,3.731075615,5.000611509,3.745153653
EXOSC5,5.20927959,5.808681423,3.159486846,4.701459886,3.319035374
ZNF628,2.527288611,2.151616334,0.985071909,2.075137524,1.683489965
PNLIPRP3,0.039782796,0.039782796,0.039782796,0.039782796,0.039782796
ENTPD3,0.010298705,0.038863572,0.13464765,0.983536633,0.08068735
SYP,0.508406796,5.616967626,0.230625752,5.549279742,0.431610272
KCNH2,0.226922899,5.207197079,0.043707359,4.189622017,-0.058259938
AOAH,0.43005597,0.098122742,-0.037080186,-0.037080186,0.018556633
DPY19L1,0.295642692,3.214111192,3.82040946,5.133872438,4.509760917
DEFB104B,-0.001120945,-0.001120945,-0.001120945,-0.001120945,-0.001120945
RIBC2,0.206370435,1.543640949,0.443049774,5.157800916,1.064515197
ELP4,2.964879562,3.783141651,2.980183673,3.473633174,2.590289584
DTNB,0.253801304,3.358411262,1.647483408,5.093644991,2.171333807
NDUFAF2,6.529503003,5.642595905,5.990746113,3.805253343,5.860456699
C2CD4C,-0.043251166,3.153988863,0.056825924,2.855172256,-0.03031215
ARMC10,5.093367447,4.623854574,4.690971182,4.967832078,4.713287998
CARHSP1,4.776714562,7.860308707,5.871204973,6.639379474,5.724138444
MEGF8,3.247375705,4.158148428,4.158871396,5.5498806,4.18537728
MCTP2,5.059244739,2.27925833,2.150213174,0.008265166,2.161671532
ATP6V0B,6.944832109,8.221874542,6.731302282,7.87281754,6.865363176
ZNF701,2.240483057,2.651755993,1.667526742,3.3681254,2.321505586
KRT15,-0.255429062,0.439527245,1.040488965,6.40007574,0.802202488
ERVV-1,-0.009349976,0.008426176,0.060717377,0.02602719,-0.009349976
IGHMBP2,4.344901364,3.451218617,2.327495421,4.140737342,2.808740666
THAP3,3.491828749,3.729791726,3.495718811,4.573528154,4.051036696
WNK3,0.012904253,1.046592577,0.287397311,2.103226186,0.251244819
PROK2,0.640766069,0.322937611,0.007173029,0.209957123,0.007173029
ECHDC1,4.332000875,5.391683297,5.215115173,5.437249243,6.297696422
HSPBAP1,2.278937703,3.805861112,1.419154311,4.452971656,1.873878074
HABP4,0.008620737,3.224112236,3.898921054,4.166532127,4.879246738
USB1,3.523663191,5.383503597,4.905089864,4.94777264,4.679730523
FAM117B,1.77779717,3.119547519,0.870942698,3.178747412,0.998727737
PARP16,2.824356649,2.401420584,1.604541554,2.857803053,1.876774955
BDKRB2,0.009931378,0.438166956,4.051217726,0.956804215,4.50219607
DEFB125,-0.005507986,-0.005507986,-0.005507986,-0.005507986,0.234196831
HAPLN4,0.192468043,0.075731929,0.006474805,0.048433213,0.006474805
ZDHHC11B,0.089162885,4.628848822,-0.056925414,3.342655846,0.005949338
TRIM35,3.792085024,2.958753516,2.608295831,3.00337122,3.038757238
POLR3G,3.024572925,3.907797495,1.982109961,2.447004707,1.501680734
TBXA2R,2.829540197,0.003191931,1.247598689,0.823386156,1.242231689
NOP2,5.556239035,7.074762287,3.948047031,4.862997302,4.95681723
FAM177A1,3.671715415,5.593937527,6.573455157,6.580260797,6.499408578
TUBG2,1.496476447,4.840098334,3.665403851,4.873678137,3.996746508
OPRL1,3.204778211,0.324457484,0.948009222,1.377305158,0.588894077
IGFLR1,2.338911359,2.471505899,0.486121828,2.726511221,1.285186871
SCN2A,-0.002327902,3.291089726,0.964279184,4.689472385,1.220687551
ATF5,4.208512754,4.055364379,4.22362125,4.705586998,4.93582364
ARMCX2,0.116496515,4.928800686,6.033150144,4.669669302,6.25872833
CDH19,0.031784875,0.049618028,0.031784875,0.119227439,0.067275481
ACY3,1.924216326,-0.015888647,-0.057773642,-0.057773642,-0.043673965
NIPAL2,2.534837527,2.264806595,3.741752107,1.556529352,4.126379275
ALPK3,-0.022886304,0.168033198,0.082126571,0.304172251,0.191650834
CXCL5,-0.002573478,0.331419374,0.101245265,0.463009583,0.538244409
MYT1,2.453682937,3.43057002,-0.019789804,3.514320892,-0.045353373
LARP1B,3.370851746,4.640269391,2.966090584,3.346193384,3.430166403
PEX3,2.813101731,3.472959659,3.526449712,4.240129525,3.86586648
SFTPC,0.046284923,-0.007971433,-0.007971433,1.070934344,0.028377076
CABP4,-0.010508487,0.078938371,-0.010508487,3.180590142,-0.023790331
AC099489.1,0.99708647,0.007012833,0.031243322,1.943515037,0.055016606
NOX1,-0.016720233,-0.002608451,0.205945998,-0.016720233,-0.002608451
PRRT2,-0.019386583,0.995354662,0.655769204,2.210876107,2.77414259
ANKRD40,3.897463267,5.117912028,4.096717078,5.202524601,4.889031321
HAND2,0.120121633,1.05454795,0.268985296,0.032268926,0.392637474
RPS15A,12.44450892,10.46532299,10.57336846,9.913626002,10.39142034
IPO4,5.171270683,5.730182185,3.443653226,4.510772206,4.177356754
OCIAD1,7.047235871,6.99855118,7.102577251,8.424583697,8.271684402
LRP11,2.870221329,5.144187448,4.616697923,5.637157495,5.190510307
PPA2,5.519604458,6.166903582,5.378103222,5.735286464,5.79054072
KATNAL2,1.540331353,2.320127626,0.594487263,4.555379211,2.46264304
STAM2,1.776926732,2.983258864,3.917706921,3.792174552,4.452056622
RANBP6,2.780418495,5.200578721,3.251612156,6.056189843,3.719058349
SNX29,1.714527197,2.290052972,2.508186723,2.805896719,3.631157417
SIM2,-0.009088148,-0.009088148,0.017626455,1.969561455,0.456383022
INHBA,0.093460676,0.533856411,7.910231116,0.079480723,7.044237579
LY6G6D,0.098423139,0.538614994,0.112194564,-0.016571206,0.205196341
PRY,-0.000266673,-0.000266673,-0.000266673,-0.000266673,-0.000266673
ERV3-1,1.754322342,2.865504175,1.454643297,3.626007482,1.735663843
SLC15A2,1.422037949,1.071494499,0.119220765,1.688861321,0.142873854
PRDM5,0.0121509,2.040011438,2.221102932,2.005225787,2.826179647
ANKIB1,2.415570764,4.630415893,4.199374138,6.136588687,4.590326736
DYNC1H1,5.919295419,7.525372475,6.901716321,6.555003563,7.326644395
